"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-3-12","36.97","36.79","37.15","36.71","62.59M","-0.73%"
"2026-3-11","37.24","37.50","37.64","37.04","148.13M","0.30%"
"2026-3-10","37.13","36.98","37.54","36.80","201.31M","2.01%"
"2026-3-9","36.40","35.93","36.67","34.86","390.63M","-1.89%"
"2026-3-6","37.10","37.01","37.48","36.24","253.95M","-1.51%"
"2026-3-5","37.67","38.46","38.48","37.20","260.66M","-0.76%"
"2026-3-4","37.96","37.70","38.89","37.48","312.57M","-2.32%"
"2026-3-3","38.86","40.35","40.35","38.66","414.09M","-4.68%"
"2026-3-2","40.77","40.40","40.90","39.10","477.51M","3.08%"
"2026-2-27","39.55","39.20","40.05","39.01","242.06M","0.46%"
"2026-2-26","39.37","39.89","39.96","38.94","199.07M","-0.66%"
"2026-2-25","39.63","39.40","40.26","38.86","289.71M","0.79%"
"2026-2-24","39.32","39.49","39.65","38.98","246.75M","4.08%"
"2026-2-13","37.78","38.26","39.04","37.69","338.03M","-4.96%"
"2026-2-12","39.75","39.57","40.43","39.49","235.58M","0.68%"
"2026-2-11","39.48","38.60","39.79","38.57","222.87M","1.73%"
"2026-2-10","38.81","38.98","39.40","38.52","199.66M","0.47%"
"2026-2-9","38.63","38.49","38.88","38.03","263.95M","3.87%"
"2026-2-6","37.19","35.55","37.82","35.50","327.77M","-0.69%"
"2026-2-5","37.45","38.13","38.50","36.57","358.37M","-4.37%"
